run_id,timestamp_utc,mode,solver_family,solver_approach,grounding_strategy,config_path,ontology_used,ontology_entry_count,tool_annotation_used,tool_count,constraints_used,constraint_count,translation_builder,translation_schema,stage,step,translation_sec,translation_peak_rss_mb,base_grounding_sec,base_grounding_peak_rss_mb,horizon_grounding_sec,step_grounding_sec,solving_sec,step_solving_sec,peak_rss_mb,raw_models_seen,raw_models_stored,unique_workflows_seen,unique_workflows_stored,raw_solutions_found,solutions_found,satisfiable,fact_count
d421f49d-d000-455f-8a27-956a000e3a0c,2026-03-29T18:50:34.345698+00:00,multi-shot-lazy,multi-shot,lazy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_lazy,lazy_candidate,horizon_4,4,,,,,0.003294,0.003294,0.000324,0.000324,26.656,,,,,,0,false,390
d421f49d-d000-455f-8a27-956a000e3a0c,2026-03-29T18:50:34.345698+00:00,multi-shot-lazy,multi-shot,lazy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_lazy,lazy_candidate,horizon_5,5,,,,,0.006214,0.006214,0.000836,0.000836,29.188,,,,,,0,false,390
d421f49d-d000-455f-8a27-956a000e3a0c,2026-03-29T18:50:34.345698+00:00,multi-shot-lazy,multi-shot,lazy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_lazy,lazy_candidate,horizon_6,6,,,,,0.007714,0.007714,0.001624,0.001624,31.734,,,,,,0,false,390
d421f49d-d000-455f-8a27-956a000e3a0c,2026-03-29T18:50:34.345698+00:00,multi-shot-lazy,multi-shot,lazy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_lazy,lazy_candidate,horizon_7,7,,,,,0.013900,0.013900,0.002895,0.002895,38.156,,,,,,12,true,390
d421f49d-d000-455f-8a27-956a000e3a0c,2026-03-29T18:50:34.345698+00:00,multi-shot-lazy,multi-shot,lazy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_lazy,lazy_candidate,horizon_8,8,,,,,0.015917,0.015917,0.017121,0.017121,45.047,,,,,,324,true,390
d421f49d-d000-455f-8a27-956a000e3a0c,2026-03-29T18:50:34.345698+00:00,multi-shot-lazy,multi-shot,lazy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_lazy,lazy_candidate,horizon_9,9,,,,,0.023515,0.023515,0.359983,0.359983,72.156,,,,,,5136,true,390
d421f49d-d000-455f-8a27-956a000e3a0c,2026-03-29T18:50:34.345698+00:00,multi-shot-lazy,multi-shot,lazy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_lazy,lazy_candidate,horizon_10,10,,,,,0.025731,0.025731,0.491723,0.491723,101.609,,,,,,10000,true,390
d421f49d-d000-455f-8a27-956a000e3a0c,2026-03-29T18:50:34.345698+00:00,multi-shot-lazy,multi-shot,lazy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_lazy,lazy_candidate,horizon_11,11,,,,,0.033125,0.033125,0.010298,0.010298,113.078,,,,,,10000,true,390
d421f49d-d000-455f-8a27-956a000e3a0c,2026-03-29T18:50:34.345698+00:00,multi-shot-lazy,multi-shot,lazy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_lazy,lazy_candidate,horizon_12,12,,,,,0.047738,0.047738,0.013494,0.013494,140.031,,,,,,10000,true,390
d421f49d-d000-455f-8a27-956a000e3a0c,2026-03-29T18:50:34.345698+00:00,multi-shot-lazy,multi-shot,lazy,hybrid,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/config.json,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/ironAPE/APE_Example/defect_concentration/constraints_empty.json,0,candidate_lazy,lazy_candidate,horizon_13,13,,,,,0.046893,0.046893,0.018092,0.018092,162.109,,,,,,10000,true,390
